eps, N, exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.49,45,0.0,0.2097760815086043,0.6166666666666667,0.006736608813703676,0.8420653708953842,0.5384615384615384,0.5036481842823972,0.31886423208837184
0.49,45,1.0,0.17958976220559436,0.49166666666666664,0.012213217811940558,0.9340592979004774,0.5384615384615384,0.7132310622601237,0.4550375330051139
0.49,45,2.0,0.18725979559569136,0.6166666666666667,0.008965829742403349,0.9570782552513566,0.5384615384615384,0.5335954843391353,0.3610323044662684
0.49,45,3.0,0.18971761321355385,0.5833333333333334,0.00852555367801983,1.2052900451238535,0.5384615384615384,0.5396997786169895,0.3642725611856039
0.49,45,4.0,0.21174243074592605,0.6083333333333333,0.006202516846345695,0.6632268892597102,0.46153846153846145,0.4220452546179743,0.3169459690134061
0.49,45,5.0,0.15689287749304318,0.49166666666666664,0.010653361806270375,1.157984159873814,0.5384615384615384,0.5704382277780057,0.3980277564937327
0.49,45,6.0,0.2085716850585858,0.675,0.005792929907015281,1.0268838288648494,0.5384615384615384,0.39848824791711235,0.27645303743930777
0.49,45,7.0,0.15911567195047055,0.65,0.005158986092543059,0.9426588947458325,0.5384615384615384,0.45794877258800487,0.26294923148432336
0.49,45,8.0,0.18819526381470547,0.5916666666666667,0.012065673960425601,0.9406022257158595,0.46153846153846145,0.7253514453398944,0.4985422866241691
0.49,45,9.0,0.15410080098050682,0.5666666666666667,0.00843855870358415,1.0891095567284783,0.5384615384615384,0.48443934434483715,0.2700284182082115
